[GaussianBlur(kernel_size=(3, 3), sigma=(0.1, 2.0)), ColorJitter(brightness=(0.7, 1.3), contrast=None, saturation=None, hue=None), Grayscale(num_output_channels=3), ToTensor(), Normalize(mean=(0.1307,), std=(0.3081,))]
Compose(
    GaussianBlur(kernel_size=(3, 3), sigma=(0.1, 2.0))
    ColorJitter(brightness=(0.7, 1.3), contrast=None, saturation=None, hue=None)
    Grayscale(num_output_channels=3)
    ToTensor()
    Normalize(mean=(0.1307,), std=(0.3081,))
)
Dataset Stats:
Train Dataset Size: 60000, Test Dataset Size:10000 

Run 4 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 36.00%, Loss: 1.722393, Test Acc: 28.01%
Run 6 -> Epoch [6/10], LP:700, UP:59301, Train Acc: 95.57%, Loss: 0.175475, Test Acc: 91.61%
Run 8 -> Epoch [6/10], LP:700, UP:59303, Train Acc: 95.43%, Loss: 0.161063, Test Acc: 82.24%
Run 4 -> Epoch [6/10], LP:700, UP:59305, Train Acc: 93.57%, Loss: 0.184288, Test Acc: 90.01%
Run 7 -> Epoch [6/10], LP:700, UP:59304, Train Acc: 93.43%, Loss: 0.172663, Test Acc: 88.32%
Run 10 -> Epoch [7/10], LP:800, UP:59205, Train Acc: 95.75%, Loss: 0.121435, Test Acc: 93.70%
Run 3 -> Epoch [7/10], LP:800, UP:59207, Train Acc: 97.25%, Loss: 0.084384, Test Acc: 92.41%
Run 5 -> Epoch [7/10], LP:800, UP:59205, Train Acc: 94.00%, Loss: 0.176800, Test Acc: 84.91%
Run 9 -> Epoch [7/10], LP:800, UP:59207, Train Acc: 95.62%, Loss: 0.162603, Test Acc: 89.48%
Run 1 -> Epoch [7/10], LP:800, UP:59203, Train Acc: 95.62%, Loss: 0.175689, Test Acc: 89.95%
Run 8 -> Epoch [7/10], LP:800, UP:59205, Train Acc: 94.38%, Loss: 0.208797, Test Acc: 86.57%
Run 2 -> Epoch [7/10], LP:800, UP:59210, Train Acc: 94.75%, Loss: 0.164067, Test Acc: 86.38%
Run 6 -> Epoch [7/10], LP:800, UP:59202, Train Acc: 95.25%, Loss: 0.172925, Test Acc: 89.45%
Run 7 -> Epoch [7/10], LP:800, UP:59205, Train Acc: 96.38%, Loss: 0.121570, Test Acc: 86.75%
Run 4 -> Epoch [7/10], LP:800, UP:59206, Train Acc: 94.00%, Loss: 0.195258, Test Acc: 90.08%
Run 10 -> Epoch [8/10], LP:900, UP:59106, Train Acc: 96.89%, Loss: 0.132851, Test Acc: 88.37%
Run 3 -> Epoch [8/10], LP:900, UP:59107, Train Acc: 97.22%, Loss: 0.197558, Test Acc: 89.86%
Run 9 -> Epoch [8/10], LP:900, UP:59109, Train Acc: 94.89%, Loss: 0.291606, Test Acc: 86.94%
Run 5 -> Epoch [8/10], LP:900, UP:59105, Train Acc: 95.56%, Loss: 0.228646, Test Acc: 84.75%
Run 1 -> Epoch [8/10], LP:900, UP:59103, Train Acc: 95.22%, Loss: 0.127520, Test Acc: 72.64%
Run 8 -> Epoch [8/10], LP:900, UP:59107, Train Acc: 95.33%, Loss: 0.157940, Test Acc: 87.77%
Run 7 -> Epoch [8/10], LP:900, UP:59107, Train Acc: 96.11%, Loss: 0.223196, Test Acc: 90.74%
Run 2 -> Epoch [8/10], LP:900, UP:59111, Train Acc: 96.11%, Loss: 0.169688, Test Acc: 82.42%
Run 4 -> Epoch [8/10], LP:900, UP:59106, Train Acc: 95.33%, Loss: 0.425402, Test Acc: 88.13%
Run 6 -> Epoch [8/10], LP:900, UP:59104, Train Acc: 95.67%, Loss: 0.132127, Test Acc: 83.55%
Run 10 -> Epoch [9/10], LP:1000, UP:59009, Train Acc: 92.30%, Loss: 0.236699, Test Acc: 73.22%
Run 3 -> Epoch [9/10], LP:1000, UP:59007, Train Acc: 90.30%, Loss: 0.327777, Test Acc: 77.03%
Run 5 -> Epoch [9/10], LP:1000, UP:59007, Train Acc: 93.20%, Loss: 0.205496, Test Acc: 80.59%
Run 1 -> Epoch [9/10], LP:1000, UP:59005, Train Acc: 94.50%, Loss: 0.161719, Test Acc: 93.40%
Run 9 -> Epoch [9/10], LP:1000, UP:59009, Train Acc: 93.30%, Loss: 0.241062, Test Acc: 83.27%
Run 8 -> Epoch [9/10], LP:1000, UP:59009, Train Acc: 95.50%, Loss: 0.157956, Test Acc: 85.80%
Run 7 -> Epoch [9/10], LP:1000, UP:59007, Train Acc: 93.00%, Loss: 0.221983, Test Acc: 85.55%
Run 6 -> Epoch [9/10], LP:1000, UP:59005, Train Acc: 96.10%, Loss: 0.138770, Test Acc: 92.47%
Run 4 -> Epoch [9/10], LP:1000, UP:59011, Train Acc: 93.60%, Loss: 0.215180, Test Acc: 86.28%
Run 2 -> Epoch [9/10], LP:1000, UP:59011, Train Acc: 93.20%, Loss: 0.228499, Test Acc: 79.50%
Run 10 -> Epoch [10/10], LP:1100, UP:58911, Train Acc: 92.55%, Loss: 0.242936, Test Acc: 91.56%
Run 3 -> Epoch [10/10], LP:1100, UP:58909, Train Acc: 93.09%, Loss: 0.260574, Test Acc: 88.80%
Run 1 -> Epoch [10/10], LP:1100, UP:58908, Train Acc: 94.55%, Loss: 0.190655, Test Acc: 92.54%
Run 5 -> Epoch [10/10], LP:1100, UP:58909, Train Acc: 95.73%, Loss: 0.132481, Test Acc: 94.23%
Run 9 -> Epoch [10/10], LP:1100, UP:58917, Train Acc: 94.27%, Loss: 0.245955, Test Acc: 91.99%
Run 8 -> Epoch [10/10], LP:1100, UP:58909, Train Acc: 96.91%, Loss: 0.097039, Test Acc: 87.56%
Run 7 -> Epoch [10/10], LP:1100, UP:58907, Train Acc: 95.91%, Loss: 0.204582, Test Acc: 90.83%
Run 4 -> Epoch [10/10], LP:1100, UP:58912, Train Acc: 96.45%, Loss: 0.104526, Test Acc: 91.36%
Run 2 -> Epoch [10/10], LP:1100, UP:58911, Train Acc: 95.64%, Loss: 0.150474, Test Acc: 85.30%
Run 6 -> Epoch [10/10], LP:1100, UP:58905, Train Acc: 96.91%, Loss: 0.110085, Test Acc: 92.83%
All runs completed.
al_withoutda_blur_brightness
[ColorJitter(brightness=(0.9, 1.1), contrast=(0.9, 1.1), saturation=(0.9, 1.1), hue=(-0.1, 0.1)), ColorJitter(brightness=None, contrast=(0.5, 1.5), saturation=None, hue=None), ElasticTransform(alpha=[50.0, 50.0], sigma=[5.0, 5.0], interpolation=InterpolationMode.BILINEAR, fill=[0.0]), Grayscale(num_output_channels=3), ToTensor(), Normalize(mean=(0.1307,), std=(0.3081,))]
Compose(
    ColorJitter(brightness=(0.9, 1.1), contrast=(0.9, 1.1), saturation=(0.9, 1.1), hue=(-0.1, 0.1))
    ColorJitter(brightness=None, contrast=(0.5, 1.5), saturation=None, hue=None)
    ElasticTransform(alpha=[50.0, 50.0], sigma=[5.0, 5.0], interpolation=InterpolationMode.BILINEAR, fill=[0.0])
    Grayscale(num_output_channels=3)
    ToTensor()
    Normalize(mean=(0.1307,), std=(0.3081,))
)
Dataset Stats:
Train Dataset Size: 60000, Test Dataset Size:10000 

Run 9 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 31.50%, Loss: 1.887152, Test Acc: 17.80%
Run 2 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 30.50%, Loss: 1.903955, Test Acc: 44.25%
Run 10 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 27.50%, Loss: 1.959962, Test Acc: 27.91%
Run 5 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 22.50%, Loss: 2.102444, Test Acc: 17.38%
Run 3 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 30.00%, Loss: 1.768140, Test Acc: 31.95%
Run 4 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 29.00%, Loss: 1.949300, Test Acc: 17.82%
Run 6 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 30.00%, Loss: 1.886937, Test Acc: 15.49%
Run 7 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 29.00%, Loss: 1.866449, Test Acc: 15.05%
Run 1 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 35.50%, Loss: 1.758010, Test Acc: 30.29%
Run 8 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 32.50%, Loss: 2.000197, Test Acc: 27.00%
Run 5 -> Epoch [2/10], LP:300, UP:59701, Train Acc: 56.33%, Loss: 1.386211, Test Acc: 23.64%
Run 8 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 57.33%, Loss: 1.220391, Test Acc: 45.29%
Run 7 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 60.67%, Loss: 1.144893, Test Acc: 61.37%
Run 4 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 60.67%, Loss: 1.180830, Test Acc: 64.97%
Run 10 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 57.33%, Loss: 1.250666, Test Acc: 56.68%
Run 6 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 63.00%, Loss: 1.044529, Test Acc: 40.65%
Run 1 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 59.67%, Loss: 1.208972, Test Acc: 53.12%
Run 3 -> Epoch [2/10], LP:300, UP:59702, Train Acc: 62.33%, Loss: 1.152070, Test Acc: 45.91%
Run 9 -> Epoch [2/10], LP:300, UP:59701, Train Acc: 57.33%, Loss: 1.235427, Test Acc: 35.41%
Run 2 -> Epoch [2/10], LP:300, UP:59700, Train Acc: 55.33%, Loss: 1.247448, Test Acc: 48.69%
Run 8 -> Epoch [3/10], LP:400, UP:59601, Train Acc: 78.25%, Loss: 0.646193, Test Acc: 69.99%
Run 7 -> Epoch [3/10], LP:400, UP:59600, Train Acc: 76.00%, Loss: 0.700000, Test Acc: 44.18%
Run 4 -> Epoch [3/10], LP:400, UP:59600, Train Acc: 81.50%, Loss: 0.561772, Test Acc: 70.36%
Run 5 -> Epoch [3/10], LP:400, UP:59601, Train Acc: 77.00%, Loss: 0.679624, Test Acc: 75.88%
Run 1 -> Epoch [3/10], LP:400, UP:59602, Train Acc: 77.25%, Loss: 0.716832, Test Acc: 76.64%
Run 10 -> Epoch [3/10], LP:400, UP:59601, Train Acc: 75.50%, Loss: 0.676120, Test Acc: 83.87%
Run 6 -> Epoch [3/10], LP:400, UP:59600, Train Acc: 74.75%, Loss: 0.830829, Test Acc: 65.58%
Run 9 -> Epoch [3/10], LP:400, UP:59602, Train Acc: 74.25%, Loss: 0.788827, Test Acc: 64.13%
Run 3 -> Epoch [3/10], LP:400, UP:59603, Train Acc: 68.75%, Loss: 0.879021, Test Acc: 74.56%
Run 2 -> Epoch [3/10], LP:400, UP:59600, Train Acc: 78.25%, Loss: 0.729938, Test Acc: 81.22%
Run 8 -> Epoch [4/10], LP:500, UP:59502, Train Acc: 87.60%, Loss: 0.429653, Test Acc: 78.69%
Run 4 -> Epoch [4/10], LP:500, UP:59500, Train Acc: 83.60%, Loss: 0.438071, Test Acc: 88.06%
Run 10 -> Epoch [4/10], LP:500, UP:59501, Train Acc: 83.00%, Loss: 0.578546, Test Acc: 84.82%
Run 1 -> Epoch [4/10], LP:500, UP:59504, Train Acc: 83.80%, Loss: 0.561986, Test Acc: 84.76%
Run 5 -> Epoch [4/10], LP:500, UP:59501, Train Acc: 81.60%, Loss: 0.605685, Test Acc: 81.90%
Run 6 -> Epoch [4/10], LP:500, UP:59502, Train Acc: 84.20%, Loss: 0.584580, Test Acc: 80.52%
Run 7 -> Epoch [4/10], LP:500, UP:59500, Train Acc: 82.40%, Loss: 0.549497, Test Acc: 75.18%
Run 3 -> Epoch [4/10], LP:500, UP:59504, Train Acc: 81.40%, Loss: 0.593104, Test Acc: 79.60%
Run 9 -> Epoch [4/10], LP:500, UP:59502, Train Acc: 82.20%, Loss: 0.539147, Test Acc: 79.80%
Run 2 -> Epoch [4/10], LP:500, UP:59500, Train Acc: 82.00%, Loss: 0.579558, Test Acc: 77.60%
Run 8 -> Epoch [5/10], LP:600, UP:59403, Train Acc: 87.50%, Loss: 0.361907, Test Acc: 89.15%
Run 4 -> Epoch [5/10], LP:600, UP:59402, Train Acc: 90.17%, Loss: 0.319598, Test Acc: 85.64%
Run 1 -> Epoch [5/10], LP:600, UP:59404, Train Acc: 86.17%, Loss: 0.445290, Test Acc: 82.74%
Run 6 -> Epoch [5/10], LP:600, UP:59402, Train Acc: 87.50%, Loss: 0.418896, Test Acc: 81.65%
Run 7 -> Epoch [5/10], LP:600, UP:59400, Train Acc: 84.33%, Loss: 0.526390, Test Acc: 89.54%
Run 10 -> Epoch [5/10], LP:600, UP:59403, Train Acc: 85.67%, Loss: 0.426783, Test Acc: 89.36%
Run 5 -> Epoch [5/10], LP:600, UP:59402, Train Acc: 83.83%, Loss: 0.471410, Test Acc: 81.70%
Run 3 -> Epoch [5/10], LP:600, UP:59406, Train Acc: 85.83%, Loss: 0.422975, Test Acc: 79.79%
Run 2 -> Epoch [5/10], LP:600, UP:59400, Train Acc: 87.33%, Loss: 0.424509, Test Acc: 89.08%
Run 9 -> Epoch [5/10], LP:600, UP:59403, Train Acc: 84.83%, Loss: 0.519839, Test Acc: 82.70%
Run 6 -> Epoch [6/10], LP:700, UP:59305, Train Acc: 89.43%, Loss: 0.336312, Test Acc: 81.39%
Run 4 -> Epoch [6/10], LP:700, UP:59302, Train Acc: 88.57%, Loss: 0.344144, Test Acc: 77.23%
Run 7 -> Epoch [6/10], LP:700, UP:59302, Train Acc: 88.14%, Loss: 0.406889, Test Acc: 88.10%
Run 1 -> Epoch [6/10], LP:700, UP:59304, Train Acc: 86.57%, Loss: 0.439047, Test Acc: 87.64%
Run 3 -> Epoch [6/10], LP:700, UP:59306, Train Acc: 88.43%, Loss: 0.347009, Test Acc: 90.87%
Run 8 -> Epoch [6/10], LP:700, UP:59305, Train Acc: 89.43%, Loss: 0.298734, Test Acc: 92.15%
Run 5 -> Epoch [6/10], LP:700, UP:59303, Train Acc: 89.43%, Loss: 0.358851, Test Acc: 91.86%
Run 10 -> Epoch [6/10], LP:700, UP:59303, Train Acc: 87.29%, Loss: 0.391620, Test Acc: 87.19%
Run 2 -> Epoch [6/10], LP:700, UP:59301, Train Acc: 90.14%, Loss: 0.310015, Test Acc: 88.87%
Run 9 -> Epoch [6/10], LP:700, UP:59305, Train Acc: 86.43%, Loss: 0.381609, Test Acc: 88.91%
Run 6 -> Epoch [7/10], LP:800, UP:59206, Train Acc: 89.00%, Loss: 0.338799, Test Acc: 90.68%
Run 1 -> Epoch [7/10], LP:800, UP:59206, Train Acc: 91.25%, Loss: 0.277084, Test Acc: 92.75%
Run 4 -> Epoch [7/10], LP:800, UP:59202, Train Acc: 91.00%, Loss: 0.280458, Test Acc: 91.36%
Run 3 -> Epoch [7/10], LP:800, UP:59207, Train Acc: 89.25%, Loss: 0.333620, Test Acc: 80.82%
Run 7 -> Epoch [7/10], LP:800, UP:59204, Train Acc: 90.88%, Loss: 0.295126, Test Acc: 94.12%
Run 5 -> Epoch [7/10], LP:800, UP:59203, Train Acc: 90.88%, Loss: 0.323584, Test Acc: 91.18%
Run 8 -> Epoch [7/10], LP:800, UP:59206, Train Acc: 89.62%, Loss: 0.383039, Test Acc: 92.44%
Run 10 -> Epoch [7/10], LP:800, UP:59203, Train Acc: 90.62%, Loss: 0.327044, Test Acc: 91.99%
Run 2 -> Epoch [7/10], LP:800, UP:59201, Train Acc: 90.50%, Loss: 0.265583, Test Acc: 94.36%
Run 9 -> Epoch [7/10], LP:800, UP:59205, Train Acc: 92.50%, Loss: 0.224397, Test Acc: 92.34%
Run 6 -> Epoch [8/10], LP:900, UP:59106, Train Acc: 90.33%, Loss: 0.336813, Test Acc: 91.08%
Run 1 -> Epoch [8/10], LP:900, UP:59107, Train Acc: 92.22%, Loss: 0.221494, Test Acc: 90.36%
Run 4 -> Epoch [8/10], LP:900, UP:59102, Train Acc: 91.67%, Loss: 0.452372, Test Acc: 86.65%
Run 7 -> Epoch [8/10], LP:900, UP:59106, Train Acc: 91.78%, Loss: 0.339459, Test Acc: 82.97%
Run 3 -> Epoch [8/10], LP:900, UP:59107, Train Acc: 91.89%, Loss: 0.272602, Test Acc: 93.02%
Run 5 -> Epoch [8/10], LP:900, UP:59103, Train Acc: 91.78%, Loss: 0.298359, Test Acc: 90.81%
Run 8 -> Epoch [8/10], LP:900, UP:59106, Train Acc: 91.33%, Loss: 0.457855, Test Acc: 90.38%
Run 10 -> Epoch [8/10], LP:900, UP:59105, Train Acc: 89.89%, Loss: 0.299345, Test Acc: 86.73%
Run 2 -> Epoch [8/10], LP:900, UP:59102, Train Acc: 92.22%, Loss: 0.344444, Test Acc: 89.71%
Run 9 -> Epoch [8/10], LP:900, UP:59105, Train Acc: 93.89%, Loss: 0.198220, Test Acc: 91.38%
Run 6 -> Epoch [9/10], LP:1000, UP:59007, Train Acc: 89.20%, Loss: 0.347592, Test Acc: 90.46%
Run 1 -> Epoch [9/10], LP:1000, UP:59010, Train Acc: 93.40%, Loss: 0.202820, Test Acc: 92.92%
Run 4 -> Epoch [9/10], LP:1000, UP:59006, Train Acc: 85.50%, Loss: 0.500042, Test Acc: 88.53%
Run 7 -> Epoch [9/10], LP:1000, UP:59006, Train Acc: 88.00%, Loss: 0.409166, Test Acc: 89.43%
Run 5 -> Epoch [9/10], LP:1000, UP:59006, Train Acc: 89.60%, Loss: 0.359555, Test Acc: 83.39%
Run 3 -> Epoch [9/10], LP:1000, UP:59009, Train Acc: 89.00%, Loss: 0.395021, Test Acc: 83.54%
Run 10 -> Epoch [9/10], LP:1000, UP:59009, Train Acc: 89.60%, Loss: 0.301796, Test Acc: 94.20%
Run 8 -> Epoch [9/10], LP:1000, UP:59006, Train Acc: 86.70%, Loss: 0.424415, Test Acc: 90.68%
Run 2 -> Epoch [9/10], LP:1000, UP:59005, Train Acc: 91.50%, Loss: 0.274123, Test Acc: 90.69%
Run 9 -> Epoch [9/10], LP:1000, UP:59006, Train Acc: 91.90%, Loss: 0.287218, Test Acc: 92.66%
Run 6 -> Epoch [10/10], LP:1100, UP:58910, Train Acc: 92.55%, Loss: 0.228722, Test Acc: 93.91%
Run 1 -> Epoch [10/10], LP:1100, UP:58913, Train Acc: 90.64%, Loss: 0.257686, Test Acc: 90.34%
Run 4 -> Epoch [10/10], LP:1100, UP:58908, Train Acc: 93.00%, Loss: 0.251413, Test Acc: 93.01%
Run 7 -> Epoch [10/10], LP:1100, UP:58907, Train Acc: 91.45%, Loss: 0.256438, Test Acc: 90.50%
Run 5 -> Epoch [10/10], LP:1100, UP:58910, Train Acc: 91.82%, Loss: 0.255026, Test Acc: 93.86%
Run 3 -> Epoch [10/10], LP:1100, UP:58912, Train Acc: 92.64%, Loss: 0.215881, Test Acc: 91.00%
Run 8 -> Epoch [10/10], LP:1100, UP:58907, Train Acc: 93.27%, Loss: 0.231286, Test Acc: 95.37%
Run 10 -> Epoch [10/10], LP:1100, UP:58909, Train Acc: 90.91%, Loss: 0.273489, Test Acc: 92.49%
Run 2 -> Epoch [10/10], LP:1100, UP:58905, Train Acc: 92.00%, Loss: 0.222622, Test Acc: 86.80%
Run 9 -> Epoch [10/10], LP:1100, UP:58906, Train Acc: 92.45%, Loss: 0.239376, Test Acc: 91.63%
All runs completed.
colorjitter_contrast_elastic_transform
[RandomEqualize(p=0.4), RandomInvert(p=0.2), RandomPosterize(bits=2,p=0.5), Grayscale(num_output_channels=3), ToTensor(), Normalize(mean=(0.1307,), std=(0.3081,))]
Compose(
    RandomEqualize(p=0.4)
    RandomInvert(p=0.2)
    RandomPosterize(bits=2,p=0.5)
    Grayscale(num_output_channels=3)
    ToTensor()
    Normalize(mean=(0.1307,), std=(0.3081,))
)
Dataset Stats:
Train Dataset Size: 60000, Test Dataset Size:10000 

Run 8 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 24.00%, Loss: 2.006385, Test Acc: 28.50%
Run 5 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 31.00%, Loss: 1.972102, Test Acc: 26.27%
Run 6 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 29.00%, Loss: 2.040342, Test Acc: 24.99%
Run 4 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 22.00%, Loss: 2.046413, Test Acc: 25.45%
Run 2 -> Epoch [1/10], LP:200, UP:59800, Train Acc: 22.00%, Loss: 2.195770, Test Acc: 29.80%
